Shiro Shinobi	 Is there any place safe for the Avatar? First, President Raiko banished her from Republic City. Then the Earth Queen declared her an enemy of the Earth Kingdom after Korra rescued a group of airbenders in Ba Sing Se. And Korra has learned that Zaheer and his fellow criminals are after her. With Tenzin busy with bringing the new recruits to the Northern Air Temple, Korra's protection rests in Beifong's hands.
Korra	Can I steal you away from Bolin for a minute? I need you help with something.
Zaheer	"""Let go your earthly tether. Enter the void. Empty and become wind."""
Ikki	What are you doing? No one's allowed in Daddy's study except Daddy.
Zaheer	I'm sorry. I couldn't sleep.
Ikki	What were you reading?
Zaheer	A poem by Guru Laghima, the wisest airbender who ever lived.
Kya	 Ikki, you should be in bed. C'mon.
Ikki	Night.
Zaheer	Good night.
Kya	 You seem to know a lot about airbender history for someone who just got airbending.
Zaheer	I've always admired the culture.
Kya	And you moved through those gates like a natural. Where did you say you were from?
Zaheer	A small village up north. You've probably never heard of it.
Kya	Wait.  Zaheer!
Kya	I need some help!
White Lotus sentry	Hold it right there!
Zaheer	Sorry, I won't be joining you at the Northern Air Temple. I'm afraid I have other plans.
Lin	 Who is it?
Korra	Hey, it's me. I brought someone who wants to talk to you. 
Lin	You want to talk? Then talk.
Opal	I'm sorry being here has been so hard for you. When you showed up, I was so excited to get to know you. I heard so many great things about you from mom and Grandma Toph. So, I guess I was kind of sad you didn't want to know me.  Believe me, I know my family can be a little crazy and overwhelming some times. But I would love it so much if you would be a part of it.
Lin	Get out.
Opal	 Sorry, did I say something wrong?
Lin	 Get out!
Korra	What's your problem? Don't get mad at Opal. I asked her to talk to you because I thought it would help you snap out of whatever funk you're in. But I guess I was wrong.
Lin	Why don't you focus on fixing the world, and stop trying to fix my family?
Korra	Su's right. You're never going to change. You're always gonna be a bitter, lonely woman.
