Shiro Shinobi	 The Red Lotus has captured the Avatar. Korra gave herself up in exchange for the airbenders, but Zaheer double crossed her, while Ghazan trapped Team Avatar at the temple. All seems lost until Bolin saved their lives by lavabending. But he's not the only one with new skills. Zaheer unlocked the ancient airbending ability of flight. Will Team Avatar save the Air Nation and Korra before it's too late?
Asami	 You know, nobody expects you to bounce back right away. It's only been two weeks. You need time to heal.  I want you to know that I'm here for you. If you ever want to talk, or, anything. But let's just try to enjoy this today; for Jinora.
Korra	You're right.  Okay, let's go.
Tonraq	 You look beautiful, sweetie. 
Tenzin	You're looking stronger everyday, Korra.
Raiko	I'd like to officially welcome you back to Republic City. I know that the last time we saw each other, it didn't end on the best terms. But I want to thank you for taking down those Red Lotus terrorists.
Asami	We should go inside.
Ikki	 I-I can help.
Meelo	 I want to ride with Korra.  Jinora's already inside. Smells like shoe trees.
Ikki	 Sandalwood, Meelo.
Lin	I got this.  Hang in there, kid. 
Raiko	She's not looking good.
Tonraq	Neither would you if you'd gone through what she had.
Tenzin	She'll be fine. She just needs time to heal. The poison took a great toll.
Raiko	Of course. I'm just saying, with the Earth Kingdom in complete disarray since the loss of the Queen ...
Zuko	And even with Zaheer locked up again, we still don't know how many Red Lotus members might be out there, hiding.
Raiko	Exactly. With the world getting more and more dangerous, we need the Avatar now more than ever. Who will protect us while she's in a wheelchair?
Tenzin	Jinora, come forward.  Today, we welcome the first airbending master in a generation. And I couldn't be more proud of my daughter.  When the existence of our people was threatened, when the Avatar's life hung in the balance, Jinora never gave up hope. Thanks to her leadership, I see a very bright future for the Air Nation. Of course, there would be no Air Nation without Avatar Korra: she opened the portals and somehow the world began anew for us. And she was even willing to lay down her own life in order to protect ours. There's no way we can ever repay her for all she's done. But we can follow her example of service and sacrifice. So while she recuperates, the Air Nation will reclaim its nomadic roots and roam the earth.  But unlike our ancestors, we will serve people of all nations, working wherever there is corruption and discord to restore balance and peace. Avatar Korra, I vow that we will do everything in our power to follow in your footsteps and bring harmony to the world.  Now, let us anoint the master who will help lead us in our new path.
