Shiro Shinobi	 Korra has reopened the Southern spirit portal and taken the first step to restoring balance between spirits and man. Meanwhile, tensions are high between Korra and her father after she discovered he was hiding a dark secret. Years ago, Tonraq was banished from the North. And now the Northern navy has landed on Southern shores. What other plans does Unalaq have for the Avatar?
Tenzin	 Dad loved us all equally. Besides, it all happened a long time ago. Why are we even talking about this?
Kya	Because you seem to have some grandiose delusion that we had a perfect, happy-go-lucky childhood. Guess what. We didn't!
Tenzin	We need to keep moving if we want to find Ikki before dark.
Kya	 See what he's doing there, Bumi? Classic airbender technique. Cutting and running when things get tough!
Tenzin	Uch.
Bumi	 Yeah. Did Dad teach you that move?
Mako	How was your day, sweetie?
Korra	 Oh, fabulous.  My tribe's about to go to war, and I'm supposed to stop it, but will anyone listen to me? No! And I didn't ask for my father's help. Can't he just let me be the Avatar?
Mako	Uh, do you want advice, or am I just supposed to listen? I'm still not clear on that.
Korra	Ugh. I'm sorry. My dad just gets me all worked up.
Mako	How about you take a break from all this Avatar stuff, and we go out for a quiet dinner. Just the two of us.
Bolin	 Isn't this fun, huh? We never get to spend enough time together, just the ... five of us. So fun.
Eska	Excuse us while we retrieve more sustenance. 
Bolin	You guys gotta save me.
Mako	"I though you were breaking up with her. What happened to ""ripping off the leech""?"
Bolin	I tried! But anytime I bring up the subject, she threatens to freeze me in a block of ice and feed me to dolphin piranhas!
Mako	So it was more like you tugged at the leech.
Bolin	Yes, over and over and over, but it won't come off. Why didn't you warn me your cousin had the power to reach into my heart and crush my soul with her bare hands.
Korra	Uh, 'cause I thought it was pretty obvious?
Bolin	No, no, not to me it wasn't. I'm very bad at reading people. You should know that by now.  Oh, man. Oh! Do something, Avatar!
Bumi	You know, this reminds me of a search-and-rescue mission I commanded years ago in the mountains outside of Ba Sing Se.
Tenzin	 Here we go.
Bumi	For five days we scoured the beast of a mountain, fighting our ways through blizzards, sandstorms, and three typhoons. Finally, we found the men huddled in a cave, seconds from death. With no time to lose, I piled all twelve of those poor souls on my back and single-handedly carried them down the mountain to safety.
Tenzin	 And how exactly is that supposed to help us find Ikki?
Bumi	It was supposed to inspire you. Clearly, you know nothing about being a leader of men. That's probably why the Avatar fired you.
Tenzin	I'm sick of your far-fetched tales. Three typhoons?
Bumi	Well, I may have thrown in an extra typhoon or two for dramatic effect, but-
Kya	Quit arguing and bring that lantern over here. I found footprints.
Tenzin	Come on! 
Bumi	No, follow me! This will get us down fifty times faster. 
Kya	Bumi, it's pitch black and the rocks are slippery. You're going to hurt yourself.
Bumi	Come on, you wimps! If I can do it, it should be no problem for a couple of benders.
Kya	Fine.
Kya	 You were right, Bumi! That was faster!
Tenzin	At least fifty times faster, by my calculations. 
Bumi	 Oh, so Tenzin's the funny guy now.
Tenzin	If you need an airlift down, just say the word.
Bumi	Bah, I don't need your help. I've got everything under control.  Agh!
Tenzin	 Bumi!
Korra	Did Dad send you to talk to me?
Senna	Your father doesn't know I'm here.  Korra, what's going on between you two?
Korra	Ask Dad. 
Senna	I've tried, but he won't talk about it. Honey, it breaks my heart to see our family being torn apart like this.
Korra	You want to know what's been going on? I found out Dad's been lying to me my whole life. Unalaq told me everything; how Dad and Tenzin kept me trapped down here while I trained; how Dad got banished from the North.
Senna	So, the truth is out.
Korra	You knew? And you never said anything.
Senna	We were trying to keep our family together, to give you a normal childhood.
Korra	I never wanted a normal childhood. All I ever wanted to be was the Avatar. But everyone keeps holding me back, even my own parents! Unalaq's the only one who believes in me.
Senna	That's not true, Korra.
Korra	No? Then why is everyone in the South turning against me, when all I'm trying to do is help them?
Senna	The problems between the North and the South started long before you were born. You can't expect to undo them in a day.
Korra	So I should just sit back and let the Water Tribes go to war?
Senna	No, but this situation might be out of your control. Varrick's been plotting a rebellion against Unalaq. He asked your father to join, and-
Korra	 Dad is part of a rebellion?
Senna	I don't know, but I don't want you getting caught in the middle of it.
Korra	It's too late, Mom. I'm already in the middle of it. 
Senna	 Korra!
Korra	Uncle!  Oh, no. Uncle?  Dad?  Dad, don't do this.
Rebel	Turn around, Avatar, and pretend you didn't see anything.
Korra	No. Leave Unalaq and go. I'll tell him I tried to stop you, but you escaped. We can still avoid a war.
Rebel	No, we can't.
Rebel	Get him out of here!
Korra	We're all part of the same tribe. I don't wanna hurt you.
Korra	Dad, stop!  Why did you do this, Dad?  What? Who are you? Where's my father?
Rebel leader	He wouldn't help us. He's a traitor, just like you.
Unalaq	Thank you for saving my life.
Korra	I'm just glad I got here in time.
Unalaq	Find Varrick. I want him to freeze in prison with the rest of these traitors. 
Korra	Wait, you can't just lock them away. That will only make the South angrier.
Unalaq	You want them to go free?
Korra	No. But let them stand trial for what they did. Every Water Tribe citizen deserves that right.
Unalaq	 Very well. I will respect the Avatar's wishes in this matter.
Korra	 Thank you, Uncle.
Kya	I told you those rocks were slippery. You're lucky you didn't kill yourself.
Bumi	You done with the lecture, Mom?
Kya	Oh, grow up! You haven't changed one bit since we were kids. You're still trying to prove you can do everything a bender can. Well, you can't. Deal with it.
Bumi	And you're not our mother. You don't get to tell me what I can and can't do. Deal with that.  Ugh.
Kya	Good luck healing yourself with your special nonbending powers.
Bumi	 Hey, hey, back me up here, Tenzin.
Tenzin	Kya's right. You're the oldest of us, but you always acted like the youngest. I had to become the responsible one.
Kya	You think you're the responsible one?  Where were you after Dad died and Mom was all alone? Because I was the only one who packed up and moved my whole life to be with her.
Tenzin	Sure, after years of flitting around the world, trying to find yourself. It was time for you to settle down somewhere.  You two have no idea how it feels to have the future of an entire culture on your shoulders.
Bumi	 Oh, boo-hoo. Must've been real hard for you, flying around the world with Dad, riding elephant koi all day.
Tenzin	Oh, so that's what this is all about.
Kya	That's what it's always been about. You think you're some savior who has to carry on Dad's legacy.
Tenzin	Who else is going to do it?
Kya	How about all of us?
Bumi	Yeah, we're Aang's kids too.
Kya	We never should have come on this vacation.
Bumi	I couldn't agree more.
Tenzin	 Well, I didn't want you to come in the first place. I can't be around you two right now. Go back to the temple and see if Ikki returned. I'll keep looking out here.
Bumi	 Fine.
Kya	 Fine.
Tenzin	Fine.
Korra	Is it okay if I come in?
Senna	Of course. We heard what happened. Are you okay?
Korra	 I'm so glad you weren't there. I don't know what I would've done.
Tonraq	I had no idea how far Varrick was willing to go. My brother and I have our differences, but I would never attack him.
Korra	I'm sorry for thinking you had anything to do with the rebels. And for all the pain I've caused you and Mom.
Tonraq	I'm the one who should apologize. After I saw the Southern Lights return, I was so proud of you. I never should've held you back.
Senna	When your father and I found each other, all we wanted was to live a simple life and raise a family. But, then we discovered you were the Avatar, and simple was over. We knew one day the world would need you, and you wouldn't need us anymore.
Korra	Mom, Dad,  of course I still need you.
Tonraq	 We weren't expecting you.
Unalaq	 Tonraq, Senna, you are under arrest and will stand trial.
Tonraq	Trial? For what?
Unalaq	For conspiring to assassinate me.
