Shiro Shinobi	 Benders be on alert. After coming face to face with Amon, leader of the Equalists, Avatar Korra discovers a terrifying truth: this masked mad man has the ability to take away a person's bending, permanently. Benders of Republic City are counting on their young Avatar. But is she prepared to face such a frightening foe?
Tarrlok	 Ah, you must be the famous Avatar Korra. It is truly an honor.  I am Councilman Tarrlok, representative from the Northern Water Tribe.
Korra	 Nice to meet you. 
Ikki	 Why do you have three ponytails?  And how come you smell like a lady? You're weird.
Tarrlok	Well aren't you ... precocious?  So, I've been reading all about your adventures in the papers. Infiltrating Amon's rally, now that took some real initiative.
Korra	Oh, thanks. I think you're the first authority figure in the city who's happy I'm here.
Tarrlok	Republic City is much better off now that you've arrived.
Tenzin	 Enough with the flattery, Tarrlok. What do you want from Korra?
Tarrlok	 Patience, Tenzin. I'm getting to that.  As you may have heard, I am assembling a task force that will strike at the heart of the revolution and I want you to join me.
Korra	 Really?
Tenzin	 What?!
Tarrlok	I need someone who will help me attack Amon directly, someone who is fearless in the face of danger.  And that someone is you.
Korra	Join your task force? I can't. 
Tarrlok	 I must admit, I'm rather surprised. I thought you'd jump at the chance to help me lead the charge against Amon.
Tenzin	 Me, too.
Korra	I came to Republic City to finish my Avatar training with Tenzin. Right now, I just need to focus on that.
Tarrlok	Which is why this opportunity is perfect. You would get on the job experience while performing your Avatar duty for the city.
Tenzin	 Korra gave you her answer. It's time for you to go.
Tarrlok	Very well.  But,  I'm not giving up on you just yet.  You'll be hearing from me soon.  It has been a pleasure, Avatar Korra. 
Ikki	 Bye-bye, ponytail man!
Server	Ah, welcome to Kwong's Cuisine, Master Mako. 
Mako	"Uh, ""Master""?"
Mako	The scarf stays.
Server	As you wish, sir.  This way please. 
Asami	 I am such a big pro-bending fan. I caught all of your matches this season.
Mako	All of them? Wow. Honestly, I wish there were a few you hadn't seen.
Asami	Oh, don't be ridiculous, you're amazing. I can't wait to see you play in the tournament.
Mako	Yeah, well, ah, maybe next year.
Asami	What do you mean? You made it in.
Mako	It just isn't in the cards for us right now.
Asami	 Tell me.  What's the problem?
Mako	We don't have the cash to ante up for the championship pot. So, it looks like we're out of the running.
Asami	That's not fair.
Server	 Pardon me, Ms. Sato.  Your main course.
Mako	Ms. Sato? You wouldn't happen to be related to Hiroshi Sato, creator of the Satomobile?
Asami	Yeah. He's my dad.
Mako	 Get out of town!
Asami	I'm serious.  You want to meet him?
Mako	Meet the most successful captain of industry in all of Republic City? Yeah, I'll take you up on that.
Bolin	 Hello, fellow teammate!
Korra	Hey, Bolin. 
Bolin	Missed you at practice this week.
Korra	Yeah, sorry about that.
Bolin	Nah, that's all right. We're probably out of the tournament anyways unless some money miraculously drops out of the sky by tomorrow. Anyways, the reason I came by was to give you this.  Ta-da!
Korra	Wow, thanks.  What's this for?
Bolin	 Uh, oh I can't remember now. Oh yeah, now I remember. You saved me from Amon!
Korra	Oh, that?  It was no big deal.
Bolin	"No big deal, are you serious? I was totally freaking out when he was coming at me with his creepy mask all, ""I will take away your bending forever.""  I mean that is.. scary stuff; I still can't sleep well."
Korra	Mhmm.
Council page	Delivery for Avatar Korra.  Tarrlok sends his compliments and urges you to reconsider his offer.
Korra	Tell him I haven't changed my mind.
Council page	Mhmm ... 
Bolin	Who's this Tarrlok guy? Is he bothering you? Huh, 'cause I could have a word with him. 
Korra	 Heh, no it's not like that. He's just some old guy who works with Tenzin on the council.
Bolin	Oh, good. Good, that sounds better. I like that better.
Hiroshi Sato	What do you think of my little operation here?
Mako	It's very impressive, Mr. Sato.
Hiroshi Sato	Please, call me Hiroshi. So, I understand you're dirt poor.
Mako	Uh, well ...
Hiroshi Sato	Young man, it is nothing to be ashamed of. I too came from humble beginnings. Why, when I was your age, I was a mere shoe-shiner, and all I had to my name was an idea; the Satomobile.  Now, I was fortunate enough to meet someone who believed in me and my work ethic. He gave me the money I needed to get my idea off the ground and I built the entire Future Industries empire from that one selfless loan. 
Asami	Dad, stop bragging. Just tell Mako the good news. 
Mako	What good news?
Hiroshi Sato	Well, my daughter passionately told me all about your hard earned success in the Pro-bending Arena. And about your team's current  financial stumbling block. Now, I'd hate to see you lose your chance at winning the championship just because you're short a few yuans. That's why I'm going to sponsor the Fire Ferrets in the tournament.
Mako	Are you serious?
Asami	He's serious. My dad's going to cover your ante for the championship pot.
Mako	Tha-that is good news.
Hiroshi Sato	There's just one catch. You all have to wear the Future Industries logo on your uniforms.
Mako	I'll tattoo it on my chest if you want, sir.  Thank you both so much.  I promise the Fire Ferrets will make the most of this opportunity.
Ikki	 Out of the way Daddy, we're driving here!  Beeeeeeep beebeebeeeeep!
Meelo	Beep-beep.
Tenzin	I see Tarrlok's gifts are getting more and more extravagant.
Korra	" Yeah, that guy doesn't know how to take ""no"" for an answer."
Tenzin	Korra, are you ... doing all right?
Korra	Yeah, I'm fine. 
Tenzin	 Why don't you take a break?  I'm glad you turned down Tarrlok, but I just want to make sure your decision was for the right reason.
Korra	I'm just really focused on my airbending right now is all.
Tenzin	 Right, that's what you said. You know, it's okay to be scared. The whole city is frightened by what's been going on. The important thing is to talk about our fears, because if we don't, they can throw us out of balance.
Tenzin	I'm always here for you, if you want to talk.
Council page	Avatar Korra! I have something for you.
Korra	It doesn't matter how many gifts Tarrlok sends, I am no​t joining his task force.
Council page	It's not a gift, it's an invitation.
Korra	 To what? 
Council page	Tarrlok is throwing a gala in your honor.  All of Republic City's movers and shakers will be there. The councilman humbly requests your attendance.
Korra	I can't believe this is all for me.
Tenzin	I'm not sure what Tarrlok's plotting, but keep your guard up. It's not like him to throw a party just for the fun of it.
Tarrlok	 So glad you could make it, Avatar Korra.  If you'd excuse us, the city awaits its hero. 
Tenzin	Meelo! No, that's not a toilet! Oh dear. 
Tarrlok	Korra, it's my pleasure to introduce Republic City's most famous industrialist, Hiroshi Sato.
Korra	Nice to meet you.
Hiroshi Sato	 We're all expecting great things from you.
Korra	Right,  greatness.
Mako	 Hey, Korra!
Hiroshi Sato	 This is my daughter, Asami.
Asami	It's lovely to meet you. Mako's told me so much about you.
Korra	 Really? Because he hasn't mentioned you at all. How did you two meet?
Bolin	 Asami crashed into him on her moped.
Korra	 What? Are you okay?
Mako	I'm fine. More than fine. Mister Sato agreed to sponsor our team; we're back in the tournament!
Bolin	 Hehe, isn't that great?
Korra	 Yeah, terrific.
Tarrlok	 Chief Beifong, I believe you and Avatar Korra have already met.
Lin Beifong	 Just because the city's throwing you this big to-do,  don't think you're something special.  You've done absolutely nothing to deserve this. 
Tarrlok	If you'd be so kind, they just have a couple of questions.
Korra	But ...
Reporter #1	Avatar Korra, you witnessed Amon take away people's bending firsthand. How serious a threat does he pose to the innocent citizens of Republic City?
Korra	 I think he presents a real problem. 
Reporter #2	Then why have you refused to join Tarrlok's task force? As the Avatar, shouldn't you be going after Amon?
Korra	Well, I ...
Reporter #2	Why are you backing away from this fight?
Korra	 What? No! I've never backed away from anything in my life!
Reporter #3	You promised to serve this city, aren't you going back on that promise now?
Reporter #4	Do you think pro-bending is more important than fighting the revolution?
Reporter #5	How do you think Avatar Aang would have handled this?
Reporter #2	 Are you afraid of Amon?
Korra	 I am not afraid of anybody! If the city needs me then ...  I'll join Tarrlok's task force and help fight Amon.
Tarrlok	 There's your headline, folks.
Tarrlok	My fellow task force deputies, tonight we will execute a raid on an underground chi blocker training camp located in the Dragon Flats borough. According to my sources, there is a cellar underneath this bookstore,  where Equalists train chi blocking in secret.
Korra	I'm going after those two.
Korra	Nice timing. Thanks, Tarrlok.
Tarrlok	We make a good team, Avatar.
Korra	Yeah, we do. 
Bolin	No Korra for practice again?
Mako	 Doesn't look like it.
Tarrlok	Avatar Korra has bravely answered the call to action. With the two of us leading the charge, Republic City has nothing to fear from Amon and the Equalists.
Female reporter	Question for the Avatar!  Amon remains at large. Why have you failed to locate him?
Korra	 You want to know why? Because Amon is hiding in the shadows like a coward.  Amon, I challenge you to a duel! No task force, no chi blockers, just the two of us tonight at midnight on Avatar Aang Memorial Island. Let's cut to the chase and settle this thing, if you're man enough to face me. 
Asami	I know it sounds weird to say this, but I'm really glad I hit you with my moped.
Mako	 Uh, me too.
Asami	I forgot to ask. Why didn't you accept the new silk scarf I bought for you last week? You didn't like it?
Mako	No, it was really nice, but this scarf was my father's. And it's all I have left of him. I just feel like ...  Like it keeps me safe.
Asami	I'm so sorry. I lost my mother when I was very young. 
Asami	I feel so safe with you. 
Tenzin	Korra, this is madness.
Korra	 Don't try to stop me and don't follow me. I have to face Amon alone.
Tenzin	 This is all your doing!
Tarrlok	I tried to talk her out of it too, but she's made up her mind.
Tarrlok	We'll be watching the island closely. If anything goes wrong, I have a fleet of police airships ready to swoop down.
Korra	 Guess you're a no-show, Amon. Who's scared now? 
Amon	I received your invitation, young Avatar.
Amon	Our showdown, while inevitable, is premature. Although it would be the simplest thing for me to take away your bending right now, I won't. You'd only become a martyr.  Benders of every nation would rally behind your untimely demise,  but I assure you, I have a plan. And I'm saving you for last, then you'll get your duel, and I will destroy you.
Korra	 Aang?
Tenzin	 Korra!  Korra, are you all right? What happened? Was Amon here?
Korra	Yeah, he ambushed me.
Tenzin	 Did he ... did he take your bending away?
Korra	 No, I'm okay.
Tenzin	 Ah, thank goodness.
Korra	 I was so terrified, I felt so helpless.
Tenzin	 It's all right, the nightmare is over.
Korra	 You ... you were right ... I've been scared this whole time.  I've never felt like this before and ... and Tenzin, I don't know what to do! 
Tenzin	 Admitting your fears is the first and most difficult step in overcoming them.
