Shiro Shinobi	 Korra is now the first metalbending Avatar! After training with Su Beifong, Korra quickly picked up the new skill, and Bolin is hoping to follow in her footsteps. Meanwhile, the airbender Zaheer is closing in on Zaofu. By his side are the lavabender Ghazan, the waterbender Ming-Hua, and the combustionbender P'Li. But what do these mysterious criminals want with the Avatar?
Asami	We don't know.
Aiwei	 You don't think I had something to do with this, do you?
Korra	We're just looking for answers.
Aiwei	And you think you've found something, don't you?  You have no idea what is coming for you, Avatar.
Mako	Come on, he's getting away!
Korra	I'm still a little new at this, so back off!  Ugh!
Mako	He's gone.
Korra	 Look, he must've escaped through there! Help me clear it out.
Lin	What happened? We heard an explosion.
Suyin	Where's Aiwei?
Korra	Your trusted adviser is the one who betrayed us. He was lying about the guard.
Suyin	What? No!
Korra	We confronted him and he bolted through here.
Lin	He must have collapsed the tunnel behind him.
Mako	And he rigged an explosion to destroy any evidence that might have been here.
Korra	This is where Zaheer got in and out. Aiwei was the traitor.
Suyin	 I ... trusted him.
Kuvira	 Is everyone okay?
Lin	Aiwei is a fugitive. Get all available guards to search the mountainside, and find out where this tunnel exits immediately!
Lin	What did you find?
Kuvira	We located the end of the tunnel, but there's no sign of him. Just some fresh tire tracks. 
Mako	He had an escape plan all ready to go.
Suyin	I trusted him with my life. I thought we were family, but it was all a lie.
Mako	Whoever these guys are, they're more powerful than we thought, and more dangerous.
Korra	That's why we have to find them. We're going to hold off our search for airbenders and hunt down Aiwei. Naga can track his scent.
Asami	And I bet if we find Aiwei, we'll find Zaheer.
Lin	No! We're not hunting this group. There could be other secret agents in other parts of the world looking for you right now! I'm taking you back to Republic City, where I can protect you.
Korra	If I wasn't safe here, then I'm not safe anywhere. I have to stop them!
Lin	It's too dangerous! You are not going!
Korra	Stop trying to protect me! I'm the Avatar. This is my job!
Lin	Don't lecture me about jobs!
Suyin	Enough! Korra, listen to Lin.
Korra	But ... they ...
Suyin	Please. Lin's only looking out for you. I promise you, Aiwei and everyone he's working with will be brought to justice.
Korra	Fine, if you really think it's best.
Suyin	I do.
Lin	Thank you, Su.
Suyin	Everyone should get some rest tonight. I'll have my people prep your airship and you can leave first thing in the morning.
Korra	Su.
Suyin	You really think Naga could track Aiwei?
Korra	Definitely.
Suyin	Then, here.  There's a jeep packed with supplies on the east gate. It's all gassed up and ready to go.
Korra	What? Why?
Suyin	Because I want you to hunt down Aiwei and bring him back to me.
Bolin	But you said -
Suyin	I said what Lin wanted to hear and I bought you guys some time. Go. I'll deal with Lin in the morning.
Korra	Let's get this guy!  Thanks.
