Shiro Shinobi	 Tensions between the Northern and Southern Water Tribes have reached a breaking point. After Chief Unalaq's troops took over the South, Varrick incited an uprising. But Korra stopped the rebels from abducting her uncle. Enraged by the insurrection, Unalaq arrested the rebels and Korra's parents, accusing them of conspiring to assassinate him. Will Korra be able to save her parents and prevent civil war?
Asami	So I'm guessing the breakup with Eska didn't go well?
Bolin	 No, no, the honesty thing worked out great. So great she decided we should  get married!
Asami	Sorry.
Korra	 I'm pretty sure the guy is supposed to give the girl the betrothal necklace.
Bolin	I guess Eska didn't get the memo.
Varrick	Look, the only way to deal with crazy women is to lie big and leave fast. Lucky for you, Varrick's got your back. Now, gather 'round Ping-Ping. Let's talk plan.
Korra	My dad's in there.  Where is he?
Unalaq	I'm sorry, Korra. You'll never see your father again.
Korra	Where's my father?
Unalaq	On a ship headed to the Northern Tribe. He'll serve out his sentence there.
Korra	Bring him back. Or I'm taking you out and the rest of your army.
Unalaq	Remember who you are. As the Avatar, you cannot threaten war. You must remain neutral, or our tribes will never find unity.
Korra	You don't want unity. You want power. You've always been jealous of my father, haven't you? You got him banished so you could become chief, and I bet it just killed you to learn he was the Avatar's father. No wonder you kept trying to take me away from him.
Unalaq	All I've ever wanted is to help you realize your destiny.
Korra	Well, I don't want your help anymore.
Unalaq	If you start a war, the dark spirits will annihilate the South. And even I will be powerless to stop them.
Korra	I'm done being manipulated by you. You're going to bring my father back, then you and your troops will return to the North. 
Unalaq	And why would I do that?
Korra	Because you still need me to open the Northern portal.
Unalaq	No, I don't. You've served your purpose.
Mako	If we get to Varrick's boat, we can still save your father.
Korra	Let's go.
Northern soldier	You have a license for that animal?
Bolin	 Uh, you fellas seen a traveling circus come through here?
Varrick	 Zhu Li, do the thing.
Excited man	That platypus bear is pooping money!
Bolin	Where's your dad?
Korra	On a ship headed north. Think we can catch up to it?
Varrick	Sure, once you get us past our friends from the North.
Korra	If only we had a plane to get me close to those ships. I could waterbend them out of the way.
Varrick	A plane? Well, why didn't you say so?
Mako	Um, why do you have a plane on your boat?
Varrick	In case the boat sinks, of course.
Asami	But there's no runway. How are we supposed to take off?
Varrick	"Zhu Li! Take a note: ""Build runway""."
Zhu Li	Yes, sir.
Korra	I have an idea.
Korra	Now!
Helmsman	Captain, you'll never gonna believe this.
Korra	There! My dad's on that ship!
Korra	Jump!
Korra	Where are the prisoners?
Tonraq	Korra, this is crazy. You promised me you wouldn't do anything rash.
Korra,	I had to. I'll explain later.
Pema	Sweetie!  You're okay! Oh!  I was so worried!  Do you have something you wanna say to your sister?
Meelo	Ikki, I'm glad you're back.
Jinora	Yeah, sorry we made fun of you.
Ikki	Thanks. Wanna play airball?
Jinora	Sure!
Meelo	Yeah! 
Tenzin	 I wanted to apologize for how I acted yesterday. I've worked so hard to celebrate Dad's legacy that I may have overlooked the parts of him that were less than ideal.
Kya	And we're sorry for dumping our frustrations with Dad out on you.
Bumi	Yeah, you didn't deserve that.
Kya	I thought you two might wanna see this.  Mom gave it to me before we left.
Bumi	That is one good-looking family, huh?
Tenzin	That's one happy family. 
Korra	So once I knew the truth, I couldn't sit by and do nothing.
Tonraq	 My own brother betrayed me. And our entire tribe.
Rebel leader	What's our next move?
Tonraq	I've been running from my past for too long. It's time to put my brother in his place.
Rebel leader	You have our support, Chief Tonraq. 
Korra	 Mine too. I'll be proud to fight alongside you, Dad.
Tonraq	No, Korra.
Korra	 But you said the South doesn't stand a change against Unalaq's forces. I can help. 
Tonraq	The best way for you to help is by getting the president of the United Republic on our side. The South can give Unalaq a good fight for a while. But we'll need the United Forces in order to win this war.
Korra	 All right, I'll get you all the help you need. I love you, Dad. 
Tonraq	I love you, too.
Bolin	I really need to thank you, Korra.
Korra	For what? I started a civil war.
Bolin	Exactly! Now Eska and I are officially broken up.
Varrick	Oh, looks like we have company! And not the fun kind!
Mako	What is that?
Bolin	That would be my darling Eska. Quick question: is this thing fast enough to get away from my crazy waterbending ex-girlfriend?
Varrick	Why do you think I built this boat?
