Shiro Shinobi	 Korra has regained her memory. By connecting with the original Avatar, Korra learned that to stop Unalaq she must close the spirit portal before Harmonic Convergence, which is only weeks away! Meanwhile, Varrick has made Bolin into a mover star and saved Asami's company. Mako is the only one who suspects that Varrick is up to no good, but can he prove it?
Jinora	I don't know.  I guess I've always kind of had a connection with spirits. 
Bumi	 I think this one likes me.
Korra	Are they here to help? 
Jinora	I think they want you to go down there.
Tenzin	I don't know. The spiritual energy is historically strongest near the temple.
Korra	No offense, but I'm guessing the spirits have actually been to the Spirit World, so I'm gonna follow them.
Bumi	 If we need to go to the Tenzin World, we'll call you.
Eska	Father, haven't the spirits had ten thousand years to open this portal?
Desna	If they could not succeed, what makes you think we will?
Unalaq	By entering the Spirit World through the portal, we bring with us something the spirits never had: our bending.  Join me! Together, we can open this portal.
Eska	 Desna!
Unalaq	Leave him! Keep bending! 
Eska	 He needs a healer at once!
Unalaq	This is more important!
Eska	 I'm taking him back.
Varrick	I hear you've got some ideas. You wanna tell me about them?
Mako	Go ahead. Torture me all you want. I'm not gonna talk.
Varrick	Torture? The only thing I want to torture is this pesky foot fungus.  Ah! Eee! Ooh! The burning means it's working.  I heard you've been investigating the recent attacks on my ships, and I think you know that I know that you know, you know?
Mako	Know what?
Varrick	That the world is a dangerous place, and that's exactly why I want to offer you a job on my security force.
Mako	I have a job.
Varrick	We need you. Me, Asami, Bolin. We're all in the same team here. We want you to join us. You wouldn't want anything to happen to Asami, would you? I mean, I heard you and her were kind of, uh, an item again. Or what about your brother?
Mako	What are you saying?
Varrick	 I'm saying I want your help to protect them. Without you, who knows what could happen.
Mako	Thanks for your concern, but the answer is no.
Bumi	" Oh, you are just so cute. I'm going to name you Bum-Ju. It's short for ""Bumi Junior"".  Don't you think he looks like me?"
Tenzin	 The resemblance is uncanny.
Jinora	 I think Dad's mad at me.
Kya	 Your father's not mad. His pride's just a little bruised since he isn't able to see spirits like you.
Korra	You have a natural gift. That's pretty lucky.
Jinora	You're the lucky one. You actually got to meet the first Avatar. I know about a lot of Avatars, but I don't know anything about him. Is it even a him? Or is it her?
Korra	It's a him, Avatar Wan. He was amazing. I saw how he became the first Avatar by fusing with Raava, the Spirit of Light.
Jinora	The Avatar is part spirit? Of course! Just like the statue.
Kya	What statue?
Jinora	When we were at the Southern Air Temple, I was drawn to this old carving. I couldn't figure out what it was until now. It was the first Avatar.
Korra	When did this happen?
Jinora	It was on the solstice.
Korra	That's the day I opened the Southern portal.
Korra and Jinora	Whoa.
Bumi	 We're here!
Tenzin	Are you sure these spirits are leading us into the right place?
Bumi	Of course! I trust Bum-Ju with my life.
Korra	Look. There are carvings on them.
Tenzin	This is an ancient airbender meditation circle.
Jinora	There's a lot of spiritual energy in this place, but it feels really strange.
Tenzin	We'll have to perform a spiritual cleansing ceremony.
Bumi	What are you talking about?
Tenzin	Dad taught it to me. This site has been neglected for many years. A cleansing ceremony will help strengthen its connections to the Spirit World.
Bumi	 Good job, you cleansed the area of the only spirits that want to help us, and you scared away Bum-Ju.
Tenzin	It's working.
Bumi	Ah! Bats! Evil bats! 
Korra	Not bats. Dark spirits.
Tenzin	What are we supposed to do?
Kya	 Amazing.
Tenzin	Your spiritual training has come a long way.
Korra	Unalaq may be a horrible person, but his spirit powers are no joke.
Tenzin	 He taught you how to transform dark spirits. I can't even get you into the Spirit World.
Korra	Everything Unalaq taught me was to help himself. Everything you've done was meant to help me. I am so sorry for turning my back on you as my mentor. I need you now more than ever.
Tenzin	I won't let you down.
Tenzin	The ancient airbenders must have built this site. If we meditate here, we'll be able to enter the Spirit World.
Korra	Why don't you go first?
Tenzin	After all these years, my father's dreams for me will finally come true.
Asami	Hi. 
Mako	Did you come by to tell me how paranoid I am?
Asami	 No. I just wanted to come by to make sure you're okay. You seemed so agitated earlier.
Mako	I'm fine.
Asami	Maybe you need a night off. Why don't we go get some dinner?
Mako	No, thanks. I'm a little busy.
Asami	Too busy for Kwong's Cuisine?  Remember? We had our first date there.
Mako	Maybe I do need to get my mind off things. 
Lu	 Police!  Hey, Mako.  Hope we didn't interrupt you two lovebirds.
Mako	What's going on?
Lu	We busted some Triple Threats who said you hired them for a job. 
Mako	All right.  It's true. We were trying to figure out who stole Asami's stuff, so we hired them for a sting operation. I'm sorry for going behind your back. 
Lin	According to the Triple Threats, you did more than that. They said you helped them steal a warehouse full of Future Industries property.
Asami	 That's crazy! 
Mako	 You're gonna believe a bunch of criminals?
Lin	I have to follow up on a lead. 
Lu	 Well, looky what I found: cash ...  And these.
Lin	What are you doing with explosives, Mako?
Mako	I don't know where those came from.
Gang	 You're under arrest.
Mako	 None of that is mine.
Gang	 Yeah. Should've known you'd hook up with your old pals. Once a Triple Threat, always a Triple Threat.
Asami	This has to be a mistake.
Lu	Sorry to break the news to you, sweetie, but your boyfriend's just a crooked cop. That sting operation was just a way to lure you away from your warehouse.
Gang	 He was using you the whole time. 
Mako	That's not true, Asami. I would never do anything to hurt you.  It's Varrick. This is all Varrick. He set me up!
Gang	Yeah, it's Varrick's fault. Varrick.  Varrick.
Bumi	 You in the Spirit World yet?
Tenzin	No, I am not,  and stop bugging me. 
Kya	It's okay, Tenzin. Maybe you weren't meant to guide Korra into the Spirit World.
Tenzin	 No! Just give me some time.
Kya	 Stop being so stubborn. It's not your destiny. I think Jinora was meant to guide the Avatar.
Tenzin	 Jinora will not enter the Spirit World! She's not ready for the dangers of the other side, but I am. I've spent years training, studying, and mastering everything there is to know about the Spirit World.
Korra	Tenzin, we're running out of time.
Tenzin	If everyone could just be quiet and let me  focus. 
Jinora	Aunt Kya is right. I can guide Korra into the Spirit World. I'll be all right.
Tenzin	 Perhaps I will never have the connections with spirits like I always wanted ... like my father wanted me to have.
Jinora	 It's okay, Daddy.
Tenzin	I'm proud of you.  Go. Close the portal. We'll wait here and keep your bodies safe till you return.
Korra	 We'll be all right.
Korra	 The Spirit World.
Unalaq	The Avatar is dead, and we cannot open the Northern portal. I have failed you, Vaatu.
Vaatu	You have not failed me ... yet. The Avatar still lives.
Unalaq	How do you know?
Vaatu	Even though my connection to Raava was severed, I can still feel her presence.
Unalaq	I'll find her.
Vaatu	The Avatar will find you.  She has just entered the Spirit World.
