Shiro Shinobi	 The new Air Nation is in jeopardy. In an effort to force Korra to surrender herself, Zaheer ambushed the Northern Air Temple. Tenzin, Bumi, and Kya attempted to hold off the Red Lotus, but were injured in battle. The airbenders were unable to escape and everyone was taken captive except Kai. Now Korra and Team Avatar race to the temple hoping to mount a rescue.
Mako	 Hey. Um, I appreciate you coming back for us. Sorry for ever giving you a hard time.
Kai	That's okay. I probably deserved it.
Mako	Yeah, you kind of did.
Ming-Hua	Why didn't you ever tell us you could fly?
Zaheer	I wasn't sure I could. Only one other airbender in history had the ability.
Ghazan	 How did you figure out how to do it?
Zaheer	I found true freedom. I am no longer bound to this earth by worldly desires. I have entered the void.
Ming-Hua	 Where's P'Li?
Zaheer	 She sacrificed her life for our cause. Now let's make sure it wasn't in vain.
Korra	You. You killed my father! 
Zaheer	I understand your grief. I also lost someone I loved today. But your pain will soon be over.  Bring the poison.
